h,no,va,vo,g
ILS,30,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 47, 'ruido': 31, 'int_luminosa': 577}",0.7236
ILS,1,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 43, 'ruido': 59, 'int_luminosa': 706}",0.5
ILS,2,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 54, 'ruido': 55, 'int_luminosa': 893}",0.5
ILS,3,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 68, 'ruido': 62, 'int_luminosa': 930}",0.5
ILS,4,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 62, 'ruido': 40, 'int_luminosa': 952}",0.5
ILS,5,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 57, 'ruido': 34, 'int_luminosa': 850}",0.5
ILS,6,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 43, 'ruido': 33, 'int_luminosa': 611}",0.5
ILS,7,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 27, 'humedad': 57, 'ruido': 57, 'int_luminosa': 663}",0.5
ILS,8,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 22, 'humedad': 44, 'ruido': 38, 'int_luminosa': 925}",0.5
ILS,9,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 43, 'ruido': 34, 'int_luminosa': 693}",0.5
ILS,10,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 24, 'humedad': 40, 'ruido': 35, 'int_luminosa': 492}",0.5
ILS,11,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 42, 'ruido': 42, 'int_luminosa': 428}",0.5
ILS,12,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 60, 'ruido': 64, 'int_luminosa': 934}",0.5
ILS,13,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 63, 'ruido': 37, 'int_luminosa': 715}",0.5
ILS,14,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 24, 'humedad': 54, 'ruido': 60, 'int_luminosa': 757}",0.5
ILS,15,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 47, 'ruido': 57, 'int_luminosa': 341}",0.5
ILS,16,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 62, 'ruido': 35, 'int_luminosa': 694}",0.5
ILS,17,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 65, 'ruido': 51, 'int_luminosa': 600}",0.5
ILS,18,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 58, 'ruido': 34, 'int_luminosa': 655}",0.5
ILS,19,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 41, 'ruido': 46, 'int_luminosa': 515}",0.5
ILS,20,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 24, 'humedad': 61, 'ruido': 65, 'int_luminosa': 720}",0.5
ILS,21,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 43, 'ruido': 51, 'int_luminosa': 421}",0.5
ILS,22,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 50, 'ruido': 42, 'int_luminosa': 812}",0.5
ILS,23,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 62, 'ruido': 65, 'int_luminosa': 852}",0.5
ILS,24,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 52, 'ruido': 52, 'int_luminosa': 997}",0.5
ILS,25,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 22, 'humedad': 55, 'ruido': 49, 'int_luminosa': 931}",0.5
ILS,26,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 52, 'ruido': 60, 'int_luminosa': 803}",0.5
ILS,27,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 63, 'ruido': 53, 'int_luminosa': 873}",0.5
ILS,28,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 59, 'ruido': 46, 'int_luminosa': 994}",0.5
ILS,29,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 41, 'ruido': 61, 'int_luminosa': 975}",0.5
ILS,30,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 51, 'ruido': 51, 'int_luminosa': 583}",0.5
ILS,1,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 28, 'humedad': 51, 'ruido': 36, 'int_luminosa': 661}",0.57735
ILS,2,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 52, 'ruido': 49, 'int_luminosa': 661}",0.57735
ILS,3,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 70, 'ruido': 37, 'int_luminosa': 661}",0.57735
ILS,4,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 47, 'ruido': 49, 'int_luminosa': 661}",0.5774
ILS,5,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 54, 'ruido': 62, 'int_luminosa': 661}",0.5774
ILS,6,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 61, 'ruido': 45, 'int_luminosa': 661}",0.5774
ILS,7,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 44, 'ruido': 42, 'int_luminosa': 661}",0.5774
ILS,8,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 67, 'ruido': 57, 'int_luminosa': 661}",0.57735
ILS,9,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 28, 'humedad': 47, 'ruido': 56, 'int_luminosa': 661}",0.5774
ILS,10,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 20, 'humedad': 55, 'ruido': 45, 'int_luminosa': 661}",0.5774
