h,no,va,vo,g
GA,30,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 62, 'ruido': 31, 'int_luminosa': 808}",0.7236
GA,1,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 24, 'humedad': 43, 'ruido': 55, 'int_luminosa': 588}",0.5
GA,2,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 51, 'ruido': 32, 'int_luminosa': 478}",0.5
GA,3,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 54, 'ruido': 62, 'int_luminosa': 345}",0.5
GA,4,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 22, 'humedad': 68, 'ruido': 40, 'int_luminosa': 323}",0.5
GA,5,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 48, 'ruido': 44, 'int_luminosa': 966}",0.5
GA,6,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 22, 'humedad': 40, 'ruido': 35, 'int_luminosa': 473}",0.5
GA,7,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 22, 'humedad': 68, 'ruido': 64, 'int_luminosa': 883}",0.5
GA,8,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 40, 'ruido': 35, 'int_luminosa': 589}",0.5
GA,9,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 24, 'humedad': 40, 'ruido': 49, 'int_luminosa': 681}",0.5
GA,10,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 41, 'ruido': 39, 'int_luminosa': 847}",0.5
GA,11,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 24, 'humedad': 47, 'ruido': 37, 'int_luminosa': 712}",0.5
GA,12,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 42, 'ruido': 40, 'int_luminosa': 998}",0.5
GA,13,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 27, 'humedad': 56, 'ruido': 48, 'int_luminosa': 832}",0.5
GA,14,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 22, 'humedad': 40, 'ruido': 62, 'int_luminosa': 622}",0.5
GA,15,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 22, 'humedad': 64, 'ruido': 50, 'int_luminosa': 769}",0.5
GA,16,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 50, 'ruido': 59, 'int_luminosa': 482}",0.5
GA,17,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 24, 'humedad': 47, 'ruido': 35, 'int_luminosa': 471}",0.5
GA,18,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 67, 'ruido': 59, 'int_luminosa': 677}",0.5
GA,19,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 62, 'ruido': 60, 'int_luminosa': 305}",0.5
GA,20,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 46, 'ruido': 58, 'int_luminosa': 659}",0.5
GA,21,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 67, 'ruido': 53, 'int_luminosa': 842}",0.5
GA,22,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 61, 'ruido': 39, 'int_luminosa': 648}",0.5
GA,23,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 56, 'ruido': 57, 'int_luminosa': 503}",0.5
GA,24,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 53, 'ruido': 53, 'int_luminosa': 756}",0.5
GA,25,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 66, 'ruido': 33, 'int_luminosa': 716}",0.5
GA,26,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 69, 'ruido': 53, 'int_luminosa': 383}",0.5
GA,27,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 46, 'ruido': 44, 'int_luminosa': 716}",0.5
GA,28,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 58, 'ruido': 38, 'int_luminosa': 765}",0.5
