h,no,va,vo,g
AL,1,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 51, 'ruido': 43, 'int_luminosa': 439}",0.5
AL,2,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 42, 'ruido': 31, 'int_luminosa': 474}",0.5
AL,3,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 63, 'ruido': 40, 'int_luminosa': 605}",0.5
AL,4,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 27, 'humedad': 68, 'ruido': 30, 'int_luminosa': 445}",0.5
AL,5,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 51, 'ruido': 62, 'int_luminosa': 698}",0.5
AL,6,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 22, 'humedad': 45, 'ruido': 57, 'int_luminosa': 524}",0.5
AL,7,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 55, 'ruido': 41, 'int_luminosa': 648}",0.5
AL,8,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 45, 'ruido': 33, 'int_luminosa': 786}",0.5
AL,9,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 54, 'ruido': 57, 'int_luminosa': 758}",0.5
AL,10,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 22, 'humedad': 67, 'ruido': 34, 'int_luminosa': 636}",0.5
AL,11,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 24, 'humedad': 58, 'ruido': 37, 'int_luminosa': 527}",0.5
AL,12,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 65, 'ruido': 40, 'int_luminosa': 674}",0.5
AL,13,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 53, 'ruido': 47, 'int_luminosa': 384}",0.5
AL,14,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 57, 'ruido': 39, 'int_luminosa': 925}",0.5
AL,15,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 60, 'ruido': 49, 'int_luminosa': 725}",0.5
AL,16,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 27, 'humedad': 52, 'ruido': 48, 'int_luminosa': 622}",0.5
AL,17,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 27, 'humedad': 60, 'ruido': 39, 'int_luminosa': 727}",0.5
AL,18,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 41, 'ruido': 43, 'int_luminosa': 408}",0.5
AL,19,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 45, 'ruido': 34, 'int_luminosa': 356}",0.5
AL,20,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 58, 'ruido': 64, 'int_luminosa': 896}",0.5
AL,21,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 69, 'ruido': 48, 'int_luminosa': 713}",0.5
AL,22,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 59, 'ruido': 51, 'int_luminosa': 615}",0.5
AL,23,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 27, 'humedad': 52, 'ruido': 54, 'int_luminosa': 834}",0.5
AL,24,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 59, 'ruido': 33, 'int_luminosa': 570}",0.5
AL,25,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 56, 'ruido': 30, 'int_luminosa': 578}",0.5
