h,no,va,vo,g
TS,1,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 27, 'humedad': 56, 'ruido': 53, 'int_luminosa': 980}",0.5
TS,2,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 60, 'ruido': 55, 'int_luminosa': 537}",0.5
TS,3,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 27, 'humedad': 63, 'ruido': 31, 'int_luminosa': 876}",0.5
TS,4,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 41, 'ruido': 58, 'int_luminosa': 847}",0.5
TS,5,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 53, 'ruido': 46, 'int_luminosa': 310}",0.5
TS,6,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 48, 'ruido': 40, 'int_luminosa': 300}",0.5
TS,7,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 45, 'ruido': 61, 'int_luminosa': 929}",0.5
TS,8,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 46, 'ruido': 63, 'int_luminosa': 424}",0.5
TS,9,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 66, 'ruido': 58, 'int_luminosa': 818}",0.5
TS,10,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 56, 'ruido': 57, 'int_luminosa': 444}",0.5
TS,11,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 55, 'ruido': 37, 'int_luminosa': 831}",0.5
TS,12,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 56, 'ruido': 43, 'int_luminosa': 721}",0.5
TS,13,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 58, 'ruido': 64, 'int_luminosa': 742}",0.5
TS,14,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 27, 'humedad': 63, 'ruido': 58, 'int_luminosa': 725}",0.5
TS,15,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 63, 'ruido': 63, 'int_luminosa': 731}",0.5
TS,16,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 48, 'ruido': 38, 'int_luminosa': 993}",0.5
TS,17,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 61, 'ruido': 30, 'int_luminosa': 758}",0.5
TS,18,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 44, 'ruido': 50, 'int_luminosa': 617}",0.5
TS,19,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 60, 'ruido': 57, 'int_luminosa': 738}",0.5
TS,20,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 24, 'humedad': 44, 'ruido': 35, 'int_luminosa': 778}",0.5
TS,21,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 41, 'ruido': 30, 'int_luminosa': 707}",0.5
TS,22,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 60, 'ruido': 57, 'int_luminosa': 494}",0.5
TS,23,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 48, 'ruido': 61, 'int_luminosa': 852}",0.5
TS,24,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 70, 'ruido': 47, 'int_luminosa': 354}",0.5
