LS,AL,GA,TS,ILS
0.0255624999999999,0.025375,0.0006,0.0269999999999999,0.003925
0.0188374999999999,0.02305,4.999999999999449e-05,0.0184125,0.0026875
0.0304624999999999,0.0347874999999999,0.00045,0.0117374999999999,0.0026124999999999
0.0088875,0.0099875,0.0,0.0055499999999999,0.0
0.0,0.0,0.0,0.0,0.0
0.03315,0.0199749999999999,0.0003999999999999,0.0159749999999999,0.0026000000000001
0.0192375,0.0093374999999999,0.0,0.0056999999999999,0.0
0.0170874999999999,0.0166875,0.0,0.00665,0.0
0.017,0.0207249999999999,4.999999999999449e-05,0.0061249999999999,0.0005
0.0191,0.0191500000000001,0.0003499999999999,0.0102125,0.0021499999999999
0.03505,0.0204625,0.0004,0.0202875,0.0053999999999999
0.0309749999999999,0.02715,0.0006,0.028975,0.0043874999999998
0.0219624999999999,0.026925,0.0006499999999999,0.018425,0.0034375
0.0166374999999999,0.0179749999999998,0.0001749999999999,0.0084124999999999,0.0010999999999999
0.0127249999999999,0.0185,0.0002499999999999,0.0062999999999999,0.0001999999999999
0.0147249999999999,0.0145874999999999,0.0,0.0066375,0.00165
0.02065,0.0164625,0.0002,0.010425,0.001175
0.0191999999999999,0.0177375,0.0002,0.00585,0.0007375
0.0172249999999999,0.0180624999999999,0.0005875,0.0106499999999999,0.0026125
0.0299375,0.021425,0.0005999999999999,0.0079374999999999,0.001
0.0076375,0.0051000000000001,0.0,0.0030499999999999,0.0
0.0152999999999998,0.0194874999999999,0.0006,0.01715,0.0001999999999999
0.0113375,0.0180374999999999,0.0002499999999999,0.008575,0.00055
0.0135999999999999,0.0121875,0.00045,0.0075499999999999,0.00025
0.0092999999999998,0.01355,0.0,0.0026875,3.7500000000023626e-05
0.0097,0.0069374999999999,9.9999999999989e-05,0.0049,0.0002499999999999
0.0146125000000001,0.0205125,0.00045,0.0074624999999999,0.003
0.0072375,0.009425,0.0,0.0002499999999999,0.0
0.0068249999999999,0.0055875,0.0,0.0047874999999999,0.00085
0.00555,0.0058875,0.0,0.0064374999999999,0.0010125
0.0035875,0.0034625,0.0,0.0033499999999999,0.0
0.0070375,0.0044,0.0001999999999999,0.0038875,0.0001999999999999
0.0160875,0.0218999999999999,0.0006499999999999,0.0107249999999999,0.0035999999999999
0.0025249999999999,4.999999999999449e-05,0.0,0.0,0.0
0.013125,0.0139500000000001,0.0009375,0.0103375,0.0010124999999999
0.0041999999999999,0.0048875,0.0,0.0025999999999999,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0165124999999999,0.0172625,0.0003999999999999,0.0123625,0.0017125
0.0033499999999999,3.7500000000023626e-05,0.0,4.999999999999449e-05,0.0
0.0,0.0,0.0,0.0,0.0
0.0016749999999999,0.0016875,0.000175,0.0010249999999999,0.0
0.0032874999999999,0.0077625,0.0,0.00295,0.0
0.0073874999999999,0.0076625000000001,0.00065,0.004775,0.0009124999999999
0.0022499999999999,0.0025625,0.0004,0.0022499999999999,0.0
0.0026374999999999,0.0021749999999999,0.0002499999999999,0.001225,4.999999999999449e-05
0.0148,0.0157625,0.0005999999999999,0.00905,0.0006499999999999
0.00095,0.001325,0.0001499999999999,0.0008875,0.0
0.0,0.0,0.0,0.0,0.0
0.0033,0.0033375000000001,0.0,0.0,0.0
0.0089124999999999,0.0048374999999999,0.0003874999999999,0.0084125,0.0013750000000001
0.0,0.0,0.0,0.0,0.0
0.0028375,0.0015874999999999,0.0001499999999999,0.0005374999999999,0.0
0.00095,0.00095,0.0,0.0,0.0
0.00335,0.00335,0.0,3.7500000000023626e-05,0.0
0.01685,0.0192749999999999,0.0006499999999999,0.01035,0.0010499999999999
0.0057374999999999,0.0064374999999999,0.0004499999999999,0.0043625,0.00065
0.0053499999999999,0.0075874999999999,0.0003999999999999,0.0047625,0.0007
0.0070999999999999,0.0071249999999999,9.9999999999989e-05,0.0055374999999999,0.0005875
0.0008625,0.0011249999999999,4.999999999999449e-05,0.000725,4.999999999999449e-05
0.0014,0.0019375,0.0,0.0010499999999999,0.0
0.0142999999999999,0.0177249999999999,0.00065,0.0055750000000001,0.0006499999999999
0.003875,0.0043249999999999,0.0002499999999999,0.0022499999999999,0.0004
0.0015125,0.0010374999999999,0.0,0.001,0.0
0.0,0.0,0.0,0.0,0.0
0.0117,0.0119874999999999,0.0003749999999999,0.0102875000000001,0.0024374999999999
0.010175,0.008575,0.0002499999999999,0.006325,0.0023624999999999
0.0040999999999999,0.0059124999999999,0.0,0.0029249999999999,0.0
0.0081999999999999,0.0074499999999999,0.0003499999999999,0.0054749999999998,0.00065
