h,va,iqr
AL,"{'temperatura': 32, 'humedad': 86, 'ruido': 72, 'int_luminosa': 428}",0.0011249999999999316
AL,"{'temperatura': 32, 'humedad': 89, 'ruido': 43, 'int_luminosa': 203}",0.0019375000000000364
AL,"{'temperatura': 33, 'humedad': 48, 'ruido': 81, 'int_luminosa': 862}",0.01772499999999999
AL,"{'temperatura': 33, 'humedad': 66, 'ruido': 81, 'int_luminosa': 677}",0.004324999999999912
AL,"{'temperatura': 33, 'humedad': 67, 'ruido': 54, 'int_luminosa': 84}",0.0010374999999999135
AL,"{'temperatura': 33, 'humedad': 69, 'ruido': 67, 'int_luminosa': 112}",0.0
AL,"{'temperatura': 34, 'humedad': 43, 'ruido': 45, 'int_luminosa': 707}",0.011987499999999929
AL,"{'temperatura': 34, 'humedad': 55, 'ruido': 48, 'int_luminosa': 683}",0.008575
AL,"{'temperatura': 34, 'humedad': 59, 'ruido': 41, 'int_luminosa': 260}",0.005912499999999987
AL,"{'temperatura': 34, 'humedad': 65, 'ruido': 87, 'int_luminosa': 991}",0.007449999999999957
AL,"{'temperatura': 34, 'humedad': 67, 'ruido': 125, 'int_luminosa': 488}",0.0019500000000000073
AL,"{'temperatura': 34, 'humedad': 82, 'ruido': 91, 'int_luminosa': 582}",0.002887500000000043
AL,"{'temperatura': 35, 'humedad': 41, 'ruido': 122, 'int_luminosa': 913}",0.01902500000000007
AL,"{'temperatura': 35, 'humedad': 51, 'ruido': 117, 'int_luminosa': 208}",0.003350000000000075
AL,"{'temperatura': 35, 'humedad': 53, 'ruido': 76, 'int_luminosa': 993}",0.010487499999999983
AL,"{'temperatura': 35, 'humedad': 69, 'ruido': 67, 'int_luminosa': 738}",0.001887499999999931
AL,"{'temperatura': 35, 'humedad': 75, 'ruido': 117, 'int_luminosa': 727}",0.0020375000000000254
AL,"{'temperatura': 35, 'humedad': 98, 'ruido': 52, 'int_luminosa': 442}",0.0023250000000000215
AL,"{'temperatura': 36, 'humedad': 76, 'ruido': 103, 'int_luminosa': 704}",0.0025375000000000814
AL,"{'temperatura': 36, 'humedad': 79, 'ruido': 80, 'int_luminosa': 220}",0.0
AL,"{'temperatura': 36, 'humedad': 79, 'ruido': 88, 'int_luminosa': 712}",0.002574999999999883
AL,"{'temperatura': 36, 'humedad': 88, 'ruido': 97, 'int_luminosa': 584}",0.0013499999999999623
AL,"{'temperatura': 37, 'humedad': 44, 'ruido': 109, 'int_luminosa': 282}",4.999999999999449e-05
AL,"{'temperatura': 37, 'humedad': 45, 'ruido': 30, 'int_luminosa': 293}",0.009837499999999944
AL,"{'temperatura': 37, 'humedad': 47, 'ruido': 96, 'int_luminosa': 219}",0.0025250000000001105
AL,"{'temperatura': 37, 'humedad': 51, 'ruido': 85, 'int_luminosa': 522}",0.006525000000000114
AL,"{'temperatura': 37, 'humedad': 58, 'ruido': 69, 'int_luminosa': 216}",0.0019500000000000073
AL,"{'temperatura': 37, 'humedad': 73, 'ruido': 40, 'int_luminosa': 162}",0.0024999999999999467
AL,"{'temperatura': 37, 'humedad': 78, 'ruido': 62, 'int_luminosa': 913}",0.003650000000000042
AL,"{'temperatura': 37, 'humedad': 97, 'ruido': 97, 'int_luminosa': 115}",0.0
AL,"{'temperatura': 38, 'humedad': 44, 'ruido': 107, 'int_luminosa': 188}",4.999999999999449e-05
AL,"{'temperatura': 38, 'humedad': 60, 'ruido': 91, 'int_luminosa': 829}",0.010424999999999907
AL,"{'temperatura': 38, 'humedad': 71, 'ruido': 36, 'int_luminosa': 833}",0.010112499999999969
AL,"{'temperatura': 38, 'humedad': 79, 'ruido': 69, 'int_luminosa': 355}",0.0004750000000000032
AL,"{'temperatura': 39, 'humedad': 41, 'ruido': 60, 'int_luminosa': 797}",0.01727500000000004
AL,"{'temperatura': 39, 'humedad': 56, 'ruido': 56, 'int_luminosa': 102}",0.003675000000000095
AL,"{'temperatura': 39, 'humedad': 63, 'ruido': 32, 'int_luminosa': 371}",0.0056874999999999565
AL,"{'temperatura': 39, 'humedad': 65, 'ruido': 36, 'int_luminosa': 483}",0.004762500000000003
AL,"{'temperatura': 39, 'humedad': 71, 'ruido': 86, 'int_luminosa': 954}",0.005337499999999995
AL,"{'temperatura': 39, 'humedad': 72, 'ruido': 46, 'int_luminosa': 292}",0.0014374999999999805
AL,"{'temperatura': 39, 'humedad': 87, 'ruido': 119, 'int_luminosa': 104}",0.0
